transponder_id,loop,utcTimestamp,utcTime,lapTime,eventName,trackedRider
SC73747,L01,1741881296.717,2025-03-13 15:54:56.717000,27.035,Vlaamse wielerschool,
SC73747,L01,1741881407.778,2025-03-13 15:56:47.778000,101.194,Vlaamse wielerschool,
SC87824,L01,1741719611.659,2025-03-11 19:00:11.659000,51.214,Vlaamse wielerschool,
SC87824,L01,1741719567.229,2025-03-11 18:59:27.229000,35.19,Vlaamse wielerschool,
SC87824,L01,1741719570.172,2025-03-11 18:59:30.172000,36.554,Vlaamse wielerschool,
SC87824,L01,1741719514.707,2025-03-11 18:58:34.707000,23.97,Vlaamse wielerschool,
SC87824,L01,1741719545.138,2025-03-11 18:59:05.138000,26.415,Vlaamse wielerschool,
SC87824,L01,1741719546.388,2025-03-11 18:59:06.388000,26.762,Vlaamse wielerschool,
SC87824,L01,1741719607.4,2025-03-11 19:00:07.400000,50.137,Vlaamse wielerschool,
RZ08899,L03,1741719561.245,2025-03-11 18:59:21.245000,29.599,Vlaamse wielerschool,
RZ08899,L03,1741719566.063,2025-03-11 18:59:26.063000,30.379,Vlaamse wielerschool,
RZ08899,L03,1741719568.055,2025-03-11 18:59:28.055000,30.488,Vlaamse wielerschool,
RZ08899,L03,1741719544.006,2025-03-11 18:59:04.006000,27.141,Vlaamse wielerschool,
RZ08899,L03,1741719548.871,2025-03-11 18:59:08.871000,27.991,Vlaamse wielerschool,
RZ08899,L03,1741719550.016,2025-03-11 18:59:10.016000,28.06,Vlaamse wielerschool,
RZ08899,L03,1741719558.821,2025-03-11 18:59:18.821000,29.006,Vlaamse wielerschool,
RZ10761,L07,1741812575.854,2025-03-12 20:49:35.854000,28.679,Vlaamse wielerschool,
RZ10761,L07,1741812579.973,2025-03-12 20:49:39.973000,29.064,Vlaamse wielerschool,
RZ10761,L07,1741812581.814,2025-03-12 20:49:41.814000,29.204,Vlaamse wielerschool,
RZ10761,L07,1741812589.02,2025-03-12 20:49:49.020000,30.009,Vlaamse wielerschool,
RZ10761,L07,1741812594.498,2025-03-12 20:49:54.498000,30.602,Vlaamse wielerschool,
RZ10761,L07,1741812595.722,2025-03-12 20:49:55.722000,30.716,Vlaamse wielerschool,
RZ10761,L07,1741812605.922,2025-03-12 20:50:05.922000,32.292,Vlaamse wielerschool,
SF04172,L01,1741883603.231,2025-03-13 16:33:23.231000,32.169,Vlaamse wielerschool,
SF04172,L01,1741883574.511,2025-03-13 16:32:54.511000,24.231,Vlaamse wielerschool,
SF04172,L01,1741883576.046,2025-03-13 16:32:56.046000,24.257,Vlaamse wielerschool,
SF04172,L01,1741883581.894,2025-03-13 16:33:01.894000,24.705,Vlaamse wielerschool,
SF04172,L01,1741883587.247,2025-03-13 16:33:07.247000,25.919,Vlaamse wielerschool,
SF04172,L01,1741883588.61,2025-03-13 16:33:08.610000,26.286,Vlaamse wielerschool,
SF04172,L01,1741883599.808,2025-03-13 16:33:19.808000,30.439,Vlaamse wielerschool,
RZ41573,L06,1741719519.286,2025-03-11 18:58:39.286000,22.279,Vlaamse wielerschool,
RZ41573,L06,1741719522.87,2025-03-11 18:58:42.870000,22.913,Vlaamse wielerschool,
RZ41573,L06,1741719524.529,2025-03-11 18:58:44.529000,23.227,Vlaamse wielerschool,
RZ41573,L06,1741719506.356,2025-03-11 18:58:26.356000,21.418,Vlaamse wielerschool,
RZ41573,L06,1741719536.992,2025-03-11 18:58:56.992000,26.899,Vlaamse wielerschool,
RZ41573,L06,1741719538.132,2025-03-11 18:58:58.132000,27.181,Vlaamse wielerschool,
RZ41573,L06,1741719517.568,2025-03-11 18:58:37.568000,22.036,Vlaamse wielerschool,
RX39522,L04,1741719488.383,2025-03-11 18:58:08.383000,27.325,Vlaamse wielerschool,
RX39522,L04,1741719492.273,2025-03-11 18:58:12.273000,27.807,Vlaamse wielerschool,
RX39522,L04,1741719493.931,2025-03-11 18:58:13.931000,27.908,Vlaamse wielerschool,
RX39522,L04,1741719500.065,2025-03-11 18:58:20.065000,27.8,Vlaamse wielerschool,
RX39522,L04,1741719477.107,2025-03-11 18:57:57.107000,25.403,Vlaamse wielerschool,
RX39522,L04,1741719478.218,2025-03-11 18:57:58.218000,25.618,Vlaamse wielerschool,
RX39522,L04,1741719486.389,2025-03-11 18:58:06.389000,27.06,Vlaamse wielerschool,
FN45797,L03,1741950133.307,2025-03-14 11:02:13.307000,37.424,Vlaamse wielerschool,
FN45797,L03,1741950139.366,2025-03-14 11:02:19.366000,39.01,Vlaamse wielerschool,
FN45797,L03,1741950142.012,2025-03-14 11:02:22.012000,39.673,Vlaamse wielerschool,
FN45797,L03,1741950110.5,2025-03-14 11:01:50.500000,30.426,Vlaamse wielerschool,
FN45797,L03,1741950117.004,2025-03-14 11:01:57.004000,32.627,Vlaamse wielerschool,
FN45797,L03,1741950118.452,2025-03-14 11:01:58.452000,33.077,Vlaamse wielerschool,
FN45797,L03,1741950130.124,2025-03-14 11:02:10.124000,36.552,Vlaamse wielerschool,
RX45668,L07,1741719520.331,2025-03-11 18:58:40.331000,22.424,Vlaamse wielerschool,
RX45668,L07,1741719523.601,2025-03-11 18:58:43.601000,22.535,Vlaamse wielerschool,
RX45668,L07,1741719525.115,2025-03-11 18:58:45.115000,22.612,Vlaamse wielerschool,
RX45668,L07,1741719531.454,2025-03-11 18:58:51.454000,23.836,Vlaamse wielerschool,
RX45668,L07,1741719537.331,2025-03-11 18:58:57.331000,25.802,Vlaamse wielerschool,
